,date,open,high,low,close,volume,capitalization,currency,secid
0,1995-10-23,1.8491,1.8491,1.8491,1.8491,0.0,0.0,USD,STOOQ:rubcny
1,1995-10-24,1.8495,1.8495,1.8495,1.8495,0.0,0.0,USD,STOOQ:rubcny
2,1995-10-25,1.8496,1.8496,1.8496,1.8496,0.0,0.0,USD,STOOQ:rubcny
3,1995-10-26,1.8488,1.8488,1.8488,1.8488,0.0,0.0,USD,STOOQ:rubcny
4,1995-10-27,1.8469,1.8469,1.8469,1.8469,0.0,0.0,USD,STOOQ:rubcny
5,1995-10-30,1.8493,1.8493,1.8493,1.8493,0.0,0.0,USD,STOOQ:rubcny
6,1995-10-31,1.8491,1.8491,1.8491,1.8491,0.0,0.0,USD,STOOQ:rubcny
7,1995-11-02,1.8422,1.8422,1.8422,1.8422,0.0,0.0,USD,STOOQ:rubcny
8,1995-11-03,1.842,1.842,1.842,1.842,0.0,0.0,USD,STOOQ:rubcny
9,1995-11-06,1.8418,1.8418,1.8418,1.8418,0.0,0.0,USD,STOOQ:rubcny
10,1995-11-07,1.8415,1.8415,1.8415,1.8415,0.0,0.0,USD,STOOQ:rubcny
11,1995-11-08,1.8442,1.8442,1.8442,1.8442,0.0,0.0,USD,STOOQ:rubcny
12,1995-11-09,1.8442,1.8442,1.8442,1.8442,0.0,0.0,USD,STOOQ:rubcny
13,1995-11-10,1.8437,1.8437,1.8437,1.8437,0.0,0.0,USD,STOOQ:rubcny
14,1995-11-13,1.8396,1.8396,1.8396,1.8396,0.0,0.0,USD,STOOQ:rubcny
15,1995-11-14,1.8353,1.8353,1.8353,1.8353,0.0,0.0,USD,STOOQ:rubcny
16,1995-11-15,1.8368,1.8368,1.8368,1.8368,0.0,0.0,USD,STOOQ:rubcny
17,1995-11-16,1.8395,1.8395,1.8395,1.8395,0.0,0.0,USD,STOOQ:rubcny
18,1995-11-17,1.8292,1.8292,1.8292,1.8292,0.0,0.0,USD,STOOQ:rubcny
19,1995-11-20,1.8222,1.8222,1.8222,1.8222,0.0,0.0,USD,STOOQ:rubcny
20,1995-11-21,1.828,1.828,1.828,1.828,0.0,0.0,USD,STOOQ:rubcny
21,1995-11-22,1.8195,1.8195,1.8195,1.8195,0.0,0.0,USD,STOOQ:rubcny
22,1995-11-23,1.8214,1.8214,1.8214,1.8214,0.0,0.0,USD,STOOQ:rubcny
23,1995-11-24,1.8223,1.8223,1.8223,1.8223,0.0,0.0,USD,STOOQ:rubcny
24,1995-11-27,1.8219,1.8219,1.8219,1.8219,0.0,0.0,USD,STOOQ:rubcny
25,1995-11-28,1.8178,1.8178,1.8178,1.8178,0.0,0.0,USD,STOOQ:rubcny
26,1995-11-29,1.8211,1.8211,1.8211,1.8211,0.0,0.0,USD,STOOQ:rubcny
27,1995-11-30,1.8271,1.8271,1.8271,1.8271,0.0,0.0,USD,STOOQ:rubcny
