Id;Ticker;Description;Sector;Country;Industry;Last;Rating;Volume;Market Capitalization;Price to Earnings Ratio (TTM);Basic EPS (TTM);Number of Employees;All Time High;All Time Low;Average Volume (90 day);Average Volume (30 day);Basic EPS (FY);Bull Bear Power;Current Ratio (MRQ);Debt to Equity Ratio (MRQ);Dividends Paid (FY);Dividends per Share (FY);Dividends per Share (MRQ);Dividends Yield (FY);EBITDA (TTM);Enterprise Value/EBITDA (TTM);Enterprise Value (MRQ);EPS Diluted (FY);EPS Diluted (MRQ);EPS Diluted (TTM);EPS Forecast (FQ);Goodwill;Gross Margin (TTM);Gross Profit (FY);Gross Profit (MRQ);Last Year Revenue (FY);Money Flow (14);Net Debt (MRQ);Net Income (FY);Net Margin (TTM);Operating Margin (TTM);Pretax Margin (TTM);Price to Book (FY);Price to Book (MRQ);Price to Free Cash Flow (TTM);Price to Revenue Ratio (TTM);Price to Sales (FY);Quick Ratio (MRQ);Relative Volume;Return on Assets (TTM);Return on Equity (TTM);Return on Invested Capital (TTM);Revenue per Employee (TTM);Shares Float;Total Assets (MRQ);Total Current Assets (MRQ);Total Debt (MRQ);Total Liabilities (FY);Total Liabilities (MRQ);Total Revenue (FY);Total Shares Outstanding (MRQ);Volatility;Volatility Month;Volume*Price;Volume Weighted Average Price;Yearly Performance;YTD Performance
248;OGKB;OGK-2;Utilities;Russian Federation;Electric Utilities;0.6748;-1;124617000;76756613663;;;;4.85;0.12;80227144.4400000;119614233.3000000;;-0.0273020;1.6596828;0.2769476;;;;8.6395680;;;;;;;;0;;;;;24.5202826;39398000000;;;;;;;;;;;1.0538088;5.4713376;8.4284159;6.9129324;;16532686377;212196000000;33904000000;39696000000;;68862000000;;110441000000;1.8173693;2.0870555;84091552;0.6765333;-11.8023788;-7.5616438
249;TRMK;TMK PAO;Industrial Services;Russian Federation;Oilfield Services/Equipment;98.8;2;19098040;74964300359;40.8443569;1.7765000;;330.00;13.99;1480891.2220000;1086099.6670000;3.9834000;23.9501445;1.0564179;5.3923770;-3097000000;12.6700000;;17.4614120;27338000000;6.7978200;400024000000;3.9834000;;1.7765000;;47874000000;20.1034588;47188000000;12068000000;222621000000;91.2697835;314741000000;3808000000;0.7841180;6.0573327;1.9026265;1.0753117;1.2871600;2.4855200;0.3226171;0.3115829;0.6850199;27.4918524;0.3563170;2.7518917;0.7252362;;506238600;621932000000;257467000000;359774000000;347371000000;555213000000;222621000000;1033140000;37.3939228;4.9661807;1886886352;90.6200000;69.0622890;61.5434925
250;KAZTP;KUIBYSHEVAZOT;Process Industries;Russian Federation;Chemicals: Specialty;299;1;2890;67153642106;;;;323.00;35.00;9271.7777780;6260.6666670;;46.7737877;1.6229739;0.8438292;;;;;;;;;;;;0;;;;;78.6411559;25119983815;;;;;;;;;;;0.5613831;-3.1126196;-6.6300183;-3.8522022;;1871499;68269956012;16120989613;27307982405;;35907976864;;237844510;2.8093646;5.4929993;864110;301.8000000;100.9408602;96.9696970
251;KAZT;KUIBYSHEVAZOT;Process Industries;Russian Federation;Chemicals: Specialty;285.4;1;8040;67153642106;;;;334.00;50.00;34685.4444400;23860.3333300;;16.7994524;1.6229739;0.8438292;;;;2.3884242;;;;;;;;0;;;;;74.2878081;25120000000;;;;;;;;;;;0.3633241;-2.7620502;-5.8825309;-3.4246756;;75147927;68270000000;16121000000;27308000000;;35908000000;;237844510;3.5150646;4.7152808;2294616;284.2666667;92.3180723;82.9487180
252;LSNG;ROSSETI LENENERGO;Utilities;Russian Federation;Electric Utilities;6.15;1;512000;66227452007;;;;18.59;1.40;426484.4444000;302413.3333000;;0.0369942;0.3844476;0.1918383;;;;4.3548923;;;;;;;;0;;;;;29.0465496;20936444000;;;;;;;;;;;3.5776675;5.7826435;8.9738670;7.5239217;;88383179;215014000000;14005900000;27791962000;;70141729000;;8617054300;2.6578073;1.7725405;3148800;6.1166667;0.3262643;15.8192090
253;LSNGP;ROSSETI LENENERGO;Utilities;Russian Federation;Electric Utilities;160.4;1;135430;66227452007;;;;175.50;9.25;215915.3333000;283545.3333000;;0.2177556;0.3844476;0.1918383;;;;9.5401260;;;;;;;;0;;;;;57.8263845;20936444000;;;;;;;;;;;0.8176758;5.7826435;8.9738670;7.5239217;;69639240;215014000000;14005900000;27791962000;;70141729000;;8617054300;1.9383540;2.2138954;21722972;159.3833333;5.1803279;4.9738220
254;MSRS;ROSSETI MOSCOW REG;Utilities;Russian Federation;Electric Utilities;1.2435;1;3490000;58521570168;8.0745968;0.1488000;;1.85;0.64;4156555.5560000;2605200.0000000;0.0976000;0.0734959;0.4603445;0.4461455;-1681790000;0.0493000;;4.1032043;44566986000;3.4972800;138588000000;0.0976000;;0.1488000;;0;16.6104454;25637462000;9708450000;164090000000;75.9811030;79482165000;4754826000;4.2370969;12.8473602;5.5552172;0.3298541;0.3211140;6.4771500;0.3422082;0.3566421;0.3963479;0.8669946;2.0417355;4.0024951;2.7645391;;16694504646;358831000000;27746107000;82119952000;185591000000;174765000000;164090000000;48707100000;1.6673445;2.0480478;4339815;1.2410000;4.8040455;-10.5395684
255;MDMG;MD MEDICAL GROUP I;Health Services;Cyprus;Hospital/Nursing Management;790.8;1;25390;58285027443;13.7995470;56.5235945;8274;999.80;446.55;45667.3333300;90470.0000000;57.1005168;4.4994867;1.0366065;0.3417101;-2260462133;28.6836902;;3.6585280;6020275385;6.3384300;;57.1005168;37.0000000;56.5235945;21.7300000;2032452626;35.6425565;6876851786;;19559746219;42.2315256;2943327065;4289949857;21.8034656;22.9070931;22.5440650;2.9881286;;126.6760000;3.0086840;2.9958215;;0.7236711;12.8409528;20.9722544;16.1124037;2364001.2350000;;31996578912;5851013803;6818442932;12042695837;12042695837;19559746219;75125010;4.1645178;6.6187311;20078412;791.4333333;;72.8713483
257;IRGZ;IRKUTSKENERGO;Utilities;Russian Federation;Electric Utilities;11.54;-1;81200;54532277140;;;;30.99;0.18;82064.4444400;79110.0000000;;-0.2816678;0.5003645;2.6032579;;;;0.0000000;;;;;;;;561000000;;;;;11.7053559;175685000000;;;;;;;;;;;1.1854015;2.8188784;9.1671099;4.2133145;;337251808;286475000000;44615000000;181546000000;;216737000000;;4766810000;2.8520499;1.9759215;937048;11.4333333;-1.5358362;-0.3454231
258;INGR;INGRAD;Finance;Russian Federation;Real Estate Development;1235;-2;26589;52474071625;;;;1619.00;122.00;12084.2111100;14581.2000000;;-114.9451543;2.8384510;14.7132520;;;;8.5758050;;;;;;;;0;;;;;0.0000000;75706525000;;;;;;;;;;;2.0537597;0.1757829;3.1208649;0.3546141;;14810633;172350000000;149872000000;100416000000;;165526000000;;41220800;2.7575020;2.1454023;32837415;1245.0000000;61.0169492;4.8387097
259;FESH;FAR-EASTERN SHIPPI;Transportation;Russian Federation;Marine Shipping;18;2;520000;52384687500;6.5269351;2.7195000;;18.50;1.63;874465.5556000;559633.3333000;2.7195000;1.8644180;0.7834463;7.4848859;0;;;0.0000000;11608000000;5.5534500;;2.7195000;;2.7195000;;6517000000;27.4514220;17066000000;;62168000000;73.5297729;32259000000;8026000000;12.9101789;13.9123022;15.7090465;16.2785792;;9.5294800;0.8426311;0.8426311;;0.9744945;13.8341147;239.4748620;25.1728951;;1192048241;54705000000;16754000000;36399000000;49842000000;49842000000;62168000000;2951250000;3.0337079;3.8994041;9360000;18.0466667;136.2204724;55.8441558
260;ALNU;ALROSA-NYURBA;Non-Energy Minerals;Russian Federation;Other Metals/Minerals;65600;1;14;52160000777;4.1683322;15641.7475000;;214500.00;32500.00;45.3555556;62.1666667;21593.7512000;2652.5303940;53.4699507;0.0000000;0;0.0000000;;0.0000000;;2.4137300;48533200000;21593.7512000;;15641.7475000;;0;60.3771207;20643647000;1616658000;35545289000;45.0685579;-906793000;17275001000;48.1923439;58.4464188;60.1048945;0.9296184;0.8720180;;2.0088170;1.4674237;53.1720011;0.1059002;23.5456354;24.8125159;24.8125159;;20098;57759581000;55296912000;0;3477013000;1063491000;35545289000;800000;3.0674847;2.0397113;918400;66000.0000000;18.4115524;10.4377104
261;IRKT;IRKUT CORPORATION;Electronic Technology;Russian Federation;Aerospace & Defense;24.44;-1;317600;51545248158;;-31.7266000;;83.30;4.16;149355.5556000;204700.0000000;-45.2008000;-1.6074327;1.2452789;-1.1956782;0;0.0000000;;0.0000000;2558132000;55.1476000;;-45.2008000;;-31.7266000;;0;32.8200746;38731693000;;118012000000;38.9929378;104581000000;-68414957000;-57.9727819;-2.6974058;-61.4228912;;;;0.5264536;0.3170491;;1.0274660;-34.1703890;;-412.7786491;;908470849;250911000000;212643000000;123572000000;354260000000;354260000000;118012000000;2085160000;1.9834711;3.6675973;7762144;24.4400000;-30.3703664;-1.6103060
262;MTLRP;MECHEL;Non-Energy Minerals;Russian Federation;Steel;131.05;1;501630;51235993176;;;;498.61;8.20;758323.0000000;581730.6667000;1.9584000;11.8622825;0.2015866;-1.3917980;-292000000;;;0.9010395;44401000000;9.2873700;;1.9584000;;;;;36.6196874;94849000000;31759000000;265454000000;73.8627147;306310000000;808000000;1.4544057;10.9854669;2.9318739;;;3.1818700;;0.2018233;0.0806227;0.8203110;1.5033042;;;;83963387;205081000000;81212000000;308801000000;424511000000;426953000000;265454000000;416271000;2.4923313;3.3926903;65738612;131.7000000;59.1378302;70.0843542
263;MTLR;MECHEL;Non-Energy Minerals;Russian Federation;Steel;80.71;1;767835;51235993176;;-0.0292000;;989.95;11.10;2752512.8440000;2221390.0000000;1.9584000;2.8095050;0.2015866;-1.3917980;-292000000;;;0.0000000;44401000000;9.3092600;;1.9584000;;;;;36.6196874;94849000000;31759000000;265454000000;77.7780755;306310000000;808000000;1.4544057;10.9854669;2.9318739;;;3.2665300;;0.1240316;0.0806227;0.2927475;1.5033042;;;;178844591;205081000000;81212000000;308801000000;424511000000;426953000000;265454000000;416271000;1.5980025;3.2647886;61971963;80.7300000;21.5695153;2.0354008
264;KMAZ;KAMAZ PTC;Producer Manufacturing;Russian Federation;Trucks/Construction/Farm Machinery;72.2;-1;24410;51203420732;;;;79.90;20.55;101205.3333000;71189.3333300;;-0.3432711;1.2867520;2.7160583;;;;0.7458564;;;;;;;;0;;;;;51.4173437;72336000000;;;;;;;;;;;0.3796917;0.5258982;2.8409445;1.0181390;;97769393;223517000000;117263000000;105728000000;;184590000000;;680907000;0.8321775;2.8188844;1762402;72.3333333;23.4188034;11.5919681
265;SFIN;SAFMAR FINL INV;Finance;Russian Federation;Finance/Rental/Leasing;456.2;-2;2580;51197089738;;;;820.00;396.40;1825.1111110;1596.6666670;;-5.1756652;;3.8364164;;;;0.0000000;;;;;;;;0;;;;;37.7059930;53949488000;;;;;;;;;;;1.5636364;13.1261825;74.6050855;20.2204866;;13838200;81749598000;;59379961000;;66271622000;;111638000;0.7462687;2.2555196;1176996;456.9333333;-12.8724184;-7.5020295
266;QIWI;QIWI PLC;Technology Services;Cyprus;Data Processing Services;746;-1;34923;46706834029;5.0244531;150.1087188;;2330.00;690.00;163279.0778000;103841.8667000;156.8858888;-21.0289763;;0.2232709;-4910865464;76.4200181;15.1037600;10.8504400;15080272143;0.5228780;19091228159;156.4716882;33.0000000;149.8670586;32.7932000;7232873912;56.1374287;23539237933;4946161881;41525640479;54.1326216;-31241020684;9766529692;25.3567513;32.7808372;31.6635195;1.4828727;1.5574500;4.0693000;1.1230523;1.1318212;;0.3449216;15.3559101;35.7467821;31.2319975;;51953969;68359045260;;7215004777;51543000000;36044023864;41525640479;51965453;1.3458950;2.1687130;26052558;747.3333333;-48.4628670;-2.0997375
267;RNFT;RUSSNEFT;Energy Minerals;Russian Federation;Oil & Gas Production;154.6;-1;24126;46235662335;;-57.6649000;;692.00;142.80;298673.7000000;133807.2000000;-57.6701000;-1.1336899;0.3498660;1.9310042;-4622000000;;;0.0000000;25493000000;6.7307500;;-57.6701000;;-57.6649000;;11812000000;18.5921499;24764000000;;133196000000;46.4765498;90394000000;-16955000000;-12.7293612;7.1946605;-15.2391964;1.2723433;;10.1140000;0.3471250;0.3469834;;0.1289369;-6.1037512;-34.4242990;-13.0550615;;47184201;275295000000;25070000000;94625000000;226292000000;226292000000;133196000000;294120000;1.6861219;3.4090645;3729880;155.2000000;-69.5669291;-33.7049743
268;TGKA;TGC-1;Utilities;Russian Federation;Electric Utilities;0.011222;-1;4033000000;44687236401;5.5209524;0.0021000;;0.04;0.00;4251276667.0000000;5149376667.0000000;0.0021000;0.0002784;1.3343500;0.1783992;-3995000000;0.0010710;0.0010710;9.2289110;21675000000;3.3738700;77582100000;0.0021000;;0.0021000;;0;19.1884980;15866000000;6262000000;86253000000;61.1823327;23754000000;8062000000;9.2878044;12.1702265;11.7739223;0.3483774;0.3362380;12.2808000;0.5148180;0.5180948;1.1866830;0.9846191;4.3194159;6.4235835;5.8204825;;723228000000;190787000000;33687000000;24790000000;51829000000;51829000000;86253000000;3854340000000;3.8461539;2.1610464;45258326;0.0113373;-9.8634538;0.2859696
269;AQUA;RUSSIAN AQUACULTUR;Consumer Non-Durables;Russian Federation;Food: Meat/Fish/Dairy;456.5;1;22280;40071751465;12.7196298;35.8501000;;509.50;24.10;42721.0000000;56678.3333300;36.1542000;41.1390206;1.9753153;0.5824116;-467269000;10.0000000;;1.9736842;4981518000;9.2926600;;36.1542000;;35.8501000;;423004000;;3286787000;;8335917000;66.5476131;6188992000;3112629000;37.3399711;53.7765791;37.5571518;3.3741467;;;4.7465182;4.7095532;;0.3254788;18.3912791;29.9419986;25.4999013;;9274243;19813427000;12552536000;6829589000;8087031000;8087031000;8335917000;87876700;2.4255788;6.3989883;10170820;458.1666667;120.0000000;74.5697897
270;MFGS;SLAVNEFT-MEGIONNEF;Energy Minerals;Russian Federation;Oil & Gas Production;299;-1;60;38469494013;;-79.4980000;;894.00;250.50;551.1111111;413.6666667;-79.4980000;1.7663592;1.6302048;0.3440047;0;0.0000000;;0.0000000;-1973000000;;;-79.4980000;;-79.4980000;;0;30.6342506;22643000000;;73914000000;22.8154949;55821000000;-10536000000;-14.2544038;-17.6150662;-17.6786536;0.2408885;;;0.5334327;0.5334327;;0.1202405;-3.8435792;-6.2346884;-4.9571146;;2580672;262525000000;49762000000;56306000000;98847000000;98847000000;73914000000;132531600;0.8361204;1.7751463;17940;299.8333333;-19.2982456;-3.2362460
271;MFGSP;SLAVNEFT-MEGIONNEF;Energy Minerals;Russian Federation;Oil & Gas Production;275;0;240;38469494013;;-79.4980000;;845.00;199.98;349.2222222;411.0000000;-79.4980000;7.9766460;1.6302048;0.3440047;0;0.0000000;;0.0000000;-1973000000;;;-79.4980000;;-79.4980000;;0;30.6342506;22643000000;;73914000000;21.9487327;55821000000;-10536000000;-14.2544038;-17.6150662;-17.6786536;0.2174069;;;0.4814342;0.4814342;;1.4545455;-3.8435792;-6.2346884;-4.9571146;;3543402;262525000000;49762000000;56306000000;98847000000;98847000000;73914000000;132531600;2.0036430;1.8943222;66000;276.3333333;-17.2932331;-0.3623188
272;SELG;SELIGDAR;Non-Energy Minerals;Russian Federation;Precious Metals;44;0;86200;36810902620;152.7437959;0.2861000;;54.90;1.84;141006.6667000;134970.0000000;0.2860000;0.7765882;3.3612703;1.8004112;-3682427000;4.5000000;;10.2974825;14364553000;5.4886500;;0.2860000;;0.2861000;;2094524000;43.6602483;14544883000;;33313789000;58.1708687;37953386000;240949000;0.7232681;35.6347487;-6.5090044;1.7951802;;14.5908000;1.1033657;1.1049753;;1.2478286;0.3620739;1.1963238;0.4587512;;106998459;75404084000;28562394000;41529764000;52337262000;52337262000;33313789000;842355000;1.1363636;1.6801156;3792800;44.1666667;7.3170732;-3.4028519
273;ETLN;ETALON GROUP PLC;Consumer Durables;Cyprus;Homebuilding;121.86;1;404760;36268551222;19.5159884;6.3609384;;150.00;73.84;242399.1333000;250042.9000000;7.0562038;3.5172499;2.5767757;1.0253363;-3605728989;;;9.6901190;11404314919;5.5268200;;7.0562038;;6.3609384;6.3800000;0;27.4169497;22192561639;;80410721197;73.1623487;26438690551;2081447185;2.3480858;13.6333810;5.7657002;0.7168805;;;0.4581854;0.4553571;;1.2332814;0.8885140;3.3010959;1.8645975;;;209774000000;170122000000;52370348681;158698000000;158698000000;80410721197;294954025;2.8148148;1.8352838;49324054;122.7600000;11.4913083;-2.1204819
274;USBN;BANK URALSIB;Finance;Russian Federation;Regional Banks;0.0861;0;2120000;31727869160;146.8333333;0.0006000;;0.21;0.02;41500444.4400000;20949666.6700000;0.0006000;-0.0010735;0.9392358;0.7005735;0;0.0000000;0.0000000;0.0000000;;;23176700000;0.0006000;;0.0006000;;0;;;;51205299000;52.4978492;-2019729000;231772000;0.4508328;4.5931991;0.5512340;0.3309542;0.2573250;3.0126400;0.6171567;0.6196208;;0.0537880;0.0487648;0.2440754;0.1610556;;10672960860;505592000000;178638000000;67532376000;409196000000;409196000000;51205299000;360135000000;1.0550997;4.0978151;182532;0.0858667;23.0000000;26.6176471
275;ROLO;RUSOLOVO;Finance;Russian Federation;Financial Conglomerates;10;-1;735300;30976032936;;-0.1420000;;15.90;0.46;759652.2222000;759656.6667000;-0.1420000;-0.0157578;2.0057484;1.8391643;0;0.0000000;;0.0000000;397157000;89.9545000;;-0.1420000;;-0.1420000;;0;20.3993082;563649000;;2763079000;69.9069228;7039021000;-426170000;-15.4237356;0.1926112;-24.1786066;11.6879295;;;11.2106938;11.2106938;;0.5158480;-3.4355417;-16.1860455;-5.1638890;;66266209;13783447000;3528342000;7290885000;9819209000;9819209000;2763079000;3000100000;4.2467139;3.2211225;7353000;10.0666667;86.5671642;28.1722635
276;VJGZ;NNK-VARYOGANNEFTEG;Energy Minerals;Russian Federation;Oil & Gas Production;1663;-1;155;30772978500;81.2488066;20.9480000;;3610.00;316.00;1611.5444440;260.2333333;20.9480000;-25.4067727;0.3470540;0.0096319;0;0.0000000;;0.0000000;6860911000;2.2495600;;20.9480000;;20.9480000;;0;62.9609065;22613000000;;35940372000;60.2695273;456267000;378970000;1.0544410;4.1126146;1.5253209;0.6424401;;32.8166000;0.8567218;0.8567218;;1.1923077;0.5451525;0.7938447;0.7920911;;209911;70170162000;3068139000;461637000;22242118000;22242118000;35940372000;18091100;2.8863500;3.2237566;257765;1679.0000000;185.2487136;101.8203884
277;VJGZP;NNK-VARYOGANNEFTEG;Energy Minerals;Russian Federation;Oil & Gas Production;599;-1;160;30772978500;;;;1418.00;197.00;5080.1111110;927.3333333;;-5.4723164;0.3470540;0.0096319;0;0.0000000;;;6990742307;;;;;;;0;62.8512032;23116028461;;36739869193;26.0326904;456267000;387400226;1.0122117;4.0525104;1.4594379;0.2283645;;;0.0969102;0.0968769;;0.3088803;0.5091536;0.7410723;0.7394703;;1254337;70170162000;3068139000;461637000;22242118000;22242118000;36739869193;18091100;1.8363940;1.7783345;95840;602.6666667;68.7323944;48.6352357
278;BSPB;BANK ST PETERSBURG;Finance;Russian Federation;Regional Banks;64.99;0;250860;30644715725;2.6305358;24.4703000;;141.89;23.20;615163.8889000;341215.6667000;22.7577000;0.4145013;0.3756471;1.6033240;-1583406000;7.8900000;;12.2439470;;;114644000000;22.7577000;;24.4703000;;0;;;;58189563000;35.3439028;87223160000;10826928000;19.9370408;25.4661827;24.8529386;0.3458309;0.3009560;4.2100300;0.5243503;0.5260636;;0.6705120;1.6631484;13.4747652;10.7216680;;125283275;731006000000;162918000000;146081000000;641534000000;639894000000;58189563000;475554000;1.5363129;2.2018309;16303391;64.9533333;47.9062391;25.4875434
279;ENRU;ENEL RUSSIA;Utilities;Russian Federation;Electric Utilities;0.8222;1;47069000;28813944961;;;;4.48;0.62;67433088.8900000;48704933.3300000;;0.0214644;1.3483772;0.6789839;;;;0.0000000;;;43847200000;;;;;0;;;1706950000;;53.0138788;16031800000;;;;;;0.6650720;;;;1.1817522;1.2877200;;;;;10834129995;84203164000;22596280000;28435090000;;42324277000;;35371900000;1.5575566;1.6389007;38700132;0.8262000;-14.4877795;-8.6444444
280;MRKS;ROSSETI SIBERIA;Utilities;Russian Federation;Electric Utilities;0.297;-1;150000;28065291237;;;;0.45;0.03;1341555.5560000;564666.6667000;-0.0028000;0.0037820;0.4158067;2.2792068;-299105000;0.0000000;0.0000000;0.0000000;;10.0772000;77177300000;-0.0028000;;;;0;;7324429000;2427287000;57804733000;34.6135958;38970813000;-280043000;;;;1.7105872;2.2104700;;;0.5114860;0.3427642;0.2846300;-0.3813976;-1.6253349;-0.6092503;;3816596246;74306048000;9986641000;39394610000;57021697000;57021697000;57804733000;99886231000;1.5177066;1.1997875;44550;0.2976667;23.7500000;-22.3529412
281;MRKP;IDGC CENTR & VOLGA;Utilities;Russian Federation;Electric Utilities;0.2445;0;25590000;27441916699;4.2719298;0.0570000;;0.38;0.05;110576111.1000000;65507666.6700000;0.0570000;-0.0015528;0.6869597;0.4745947;-1831211000;0.0259260;0.0259260;10.6472270;22033138000;2.7084700;55917200000;0.0570000;;0.0570000;;0;17.2037859;16642918000;5279316000;96739852000;32.4458129;27370881000;6429135000;6.6457979;13.9673906;8.5102880;0.4470269;0.4650180;;0.2836672;0.2836672;0.6245484;0.3658223;5.5205574;11.0527410;8.2240653;;48846581442;121266000000;20502851000;29134364000;59878281000;59878281000;96739852000;112698000000;2.5576520;1.9442598;6256755;0.2425333;12.6728111;-3.4741413
282;MSTT;MOSTOTREST;Industrial Services;Russian Federation;Engineering & Construction;94.05;-1;5690;26782252817;;-21.9151000;;248.00;54.30;11784.2222200;7884.3333330;-21.9960000;-4.4048368;1.1485263;3.6894876;0;0.0000000;;0.0000000;4623000000;7.9470400;;-21.9960000;;-21.9151000;;0;10.5714724;10375000000;;97905000000;11.7520084;7088000000;-6185000000;-6.2887493;0.9223227;-2.3369593;11.8296137;;;0.2735535;0.2725566;;0.8612078;-6.5400855;-61.5853964;-18.0612799;;16359157;19052000000;15860000000;8353000000;16788000000;16788000000;97905000000;282215000;0.8556150;2.5210051;535145;93.9500000;-41.4383598;-10.7685010
283;UTAR;UTAIR AVIATION;Transportation;Russian Federation;Airlines;6.79;-1;5400;25249059249;;;;29.33;3.10;46972.2222200;34910.0000000;;0.0368124;0.2019020;-2.3547843;;;;0.0000000;;;;;;;;0;;;;;21.1924958;89964198000;;;;;;;;;;;0.2222222;-2.5540508;;;;29669511;77505268000;19303363000;99197755000;;119631000000;;3702210000;0.8862629;1.6460356;36666;6.7966667;-5.2998605;1.3432836
284;GEMC;UNITED MED GROUP C;Health Services;Cyprus;Medical/Nursing Services;890.01;-2;33041;24785998164;;;2090;940.00;861.00;;;75.9088000;;0.9279384;1.4431625;0;;;0.0000000;;;;75.9088000;;;;2025913792;;8184674726;;21365160947;;12353585375;6831793665;;;;7.8810846;;;;3.8670432;;0.1864047;26.8721312;86.2726712;37.0587620;10222565.0500000;;28467229101;6243988301;14297325947;18560288029;18560288029;21365160947;90000000;6.2717770;;29406820;888.6700000;;
285;MRKK;ROSSETI NORTHERN C;Utilities;Russian Federation;Electric Utilities;27.18;-1;2130;24509482303;;-13.5621000;;48.20;9.30;11346.5555600;12199.0000000;-12.8033000;-0.5298122;0.2053589;-0.5207826;0;0.0000000;0.0000000;0.0000000;-11518902000;;40421900000;-12.8033000;;-13.5621000;;0;-5.5007633;-1328484000;-849739000;27719810000;18.2689592;13269127000;-11394912000;-42.4803865;-42.2944924;-49.3916176;;;;0.9003165;0.8848690;0.1779191;0.6388722;-49.0097601;;;;10049248;29787604000;7569790000;14626554000;57102598000;57873326000;27719810000;889314000;2.8337062;4.1380924;57893;27.1800000;4.7802581;-8.9142091
286;UCSS;UNITED CREDIT SYS;Finance;Russian Federation;Financial Conglomerates;1020;-1;86;24193232002;;;;55490.00;385.00;242.1777778;58.1333333;;-58.0239872;;0.0000000;;;;0.0000000;;;;;;;;0;;;;;17.9226110;-66000000;;;;;;;;;;;2.6708075;48.4274138;49.5363866;49.5363866;;63448;18589000000;;0;;648000000;;23718900;3.0000000;2.1481401;87720;1016.6666670;-30.1369863;-27.6595745
287;BELU;BELUGA GROUP;Consumer Non-Durables;Russian Federation;Beverages: Alcoholic;2658;1;45184;23725044159;15.9655184;163.1015000;;6822.00;354.00;24456.4111100;23147.1000000;197.4655000;105.2530595;1.4911230;1.0056033;-517000000;100.0000000;;3.4562210;9209000000;3.6313500;;197.4655000;;163.1015000;;3511000000;32.8524932;20793000000;;63292000000;74.7946439;15569000000;2462000000;4.4302598;10.8133729;5.6484232;2.0519276;;3.8301800;0.6500537;0.5129664;;1.1157452;4.6363200;14.4227555;7.7825116;;2310568;63530000000;34603000000;20459000000;43185000000;43185000000;63292000000;9111000;3.5482640;3.5612138;120099072;2664.3333330;104.3043813;90.5376344
288;NKHP;NOVOROSSIYSK GRAIN;Transportation;Russian Federation;Other Transportation;333.5;-2;4420;22813987541;;;;720.00;140.50;3169.6666670;2913.0000000;;-14.8743494;1.0237231;0.6120807;;;;5.0933332;;;;;;;;0;;;;;23.8524278;1999856000;;;;;;;;;;;1.8332642;9.5131070;17.1308323;12.6090008;;9218406;11626933000;2846633000;4195794000;;4771964000;;67597000;3.3434651;2.5380338;1474070;334.1666667;44.0604752;0.7552870
289;KUBE;ROSSETI KUBAN;Utilities;Russian Federation;Electric Utilities;65.5;-1;520;21719294126;;;;164.00;30.50;935.8888889;505.0000000;-3.7059000;-2.2613094;0.5748089;0.8556191;-636639000;;0.0000000;0.0000000;;7.6727600;50896400000;-3.7059000;;;;0;;2779406000;1118202000;49561633000;10.9784215;27369919000;-1240210000;;;;0.6619900;0.7133230;;;0.4382282;0.4603637;0.5456453;-1.6951325;-3.6762207;-2.2432581;;1137837;75047291000;11041857000;28219597000;43101357000;42065797000;49561633000;334658000;2.9687500;1.7555199;34060;65.1333333;-6.0258209;-4.0995650
290;UKUZ;SOUTHERN KUZBASS C;Energy Minerals;Russian Federation;Coal;568;-2;103;20798907715;;-569.5525000;;3024.00;400.00;175.6777778;132.8000000;-569.5525000;-13.7968369;0.0967857;-4.1060271;0;0.0000000;;0.0000000;-896280000;;;-569.5525000;;-569.5525000;;0;13.8428951;3814732000;;27557328000;14.3627079;141052000000;-20566094000;-74.6302181;-9.5990330;-75.3461402;;;17.3684000;0.7547506;0.7547506;;0.9942085;-16.1356954;;-249.8157335;;314150;121643000000;8508154000;141190000000;156029000000;156029000000;27557328000;36109217;1.4134276;1.5403983;58504;569.3333333;3.6496350;9.6525097
291;ABRD;ABRAU-DURSO;Consumer Non-Durables;Russian Federation;Beverages: Alcoholic;194.5;-1;14640;19159037289;;;;6525.00;64.70;31548.1111100;35516.0000000;;-1.7377439;2.1713231;0.8231140;;;;1.4629157;;;;;;;;0;;;;;31.2009601;6926762000;;;;;;;;;;;0.8958512;4.9500736;9.5527475;6.5219115;;3948036;18002024000;9089899000;7087845000;;9157300000;;98000200;1.8087855;2.4924821;2847480;195.0000000;6.5753425;-2.7500000
292;LNZLP;LENZOLOTO;Non-Energy Minerals;Russian Federation;Precious Metals;2930;-1;7218;18144123532;;;;7650.00;1148.50;17613.9333300;40620.5333300;;-691.8252224;2906.1250000;0.0042535;-4000000;15219.5000000;;123.7214050;;-17.1292000;;;;;;0;;;;68000000;77.0643662;-22919000000;5864000000;;;;0.1479816;;;;15.2885735;;0.1069318;0.1927500;0.2197089;0.2191672;;332202;23382000000;23249000000;99000000;107000000;107000000;68000000;1488000;3.4423408;21.8761220;21148740;2946.6666670;-49.5697074;-25.9165613
