Id;Ticker;Description;Sector;Country;Industry;Last;Rating;Volume;Market Capitalization;Price to Earnings Ratio (TTM);Basic EPS (TTM);Number of Employees;All Time High;All Time Low;Average Volume (90 day);Average Volume (30 day);Basic EPS (FY);Bull Bear Power;Current Ratio (MRQ);Debt to Equity Ratio (MRQ);Dividends Paid (FY);Dividends per Share (FY);Dividends per Share (MRQ);Dividends Yield (FY);EBITDA (TTM);Enterprise Value/EBITDA (TTM);Enterprise Value (MRQ);EPS Diluted (FY);EPS Diluted (MRQ);EPS Diluted (TTM);EPS Forecast (FQ);Goodwill;Gross Margin (TTM);Gross Profit (FY);Gross Profit (MRQ);Last Year Revenue (FY);Money Flow (14);Net Debt (MRQ);Net Income (FY);Net Margin (TTM);Operating Margin (TTM);Pretax Margin (TTM);Price to Book (FY);Price to Book (MRQ);Price to Free Cash Flow (TTM);Price to Revenue Ratio (TTM);Price to Sales (FY);Quick Ratio (MRQ);Relative Volume;Return on Assets (TTM);Return on Equity (TTM);Return on Invested Capital (TTM);Revenue per Employee (TTM);Shares Float;Total Assets (MRQ);Total Current Assets (MRQ);Total Debt (MRQ);Total Liabilities (FY);Total Liabilities (MRQ);Total Revenue (FY);Total Shares Outstanding (MRQ);Volatility;Volatility Month;Volume*Price;Volume Weighted Average Price;Yearly Performance;YTD Performance
224;AFLT;AEROFLOT;Transportation;Russian Federation;Airlines;67.34;-1;5033320;161635000000;;-73.5542000;;225.00;0.01;14094671.8900000;9498698.6670000;-87.4381000;-0.4418095;0.5714927;-5.0113081;-518000000;;;0.0000000;11876000000;27.9076000;828340000000;-87.4381000;;-73.5542000;;0;-28.0056881;-61291000000;-9785000000;298631000000;27.6102034;674682000000;-117613000000;-48.7912718;-43.4218021;-60.7996845;;;;0.6438323;0.3037647;0.4888030;0.6604102;-11.9734432;;-26.2411750;;974269973;995748000000;178256000000;752929000000;1271230000000;1145990000000;298631000000;2396722204;1.1986815;1.3622232;338943769;67.2066667;-17.8379687;-5.7390844
225;HHRU;HEADHUNTER GROUP P;Technology Services;Russian Federation;Internet Software/Services;3194;1;6645;160942000000;72.5972359;46.0060530;226;3750.00;1740.40;10452.8000000;13535.4666700;35.6064622;21.0655556;0.7303272;1.8569439;-1927382825;;;1.0709382;4119902458;30.6623000;132631000000;34.6597178;14.5998970;44.7675446;20.4123170;10669388064;43.8596637;3728223973;1269057299;8466343304;47.8999830;3580191370;1787865791;24.9554455;35.5965441;34.5338342;47.5438841;29.4698000;93.8694000;17.6318997;19.8018562;;0.5122216;13.5257294;73.6924524;25.7434534;37461696.0400000;;20683878695;5266712487;8414033571;14689614000;16018755606;8466343304;50317860;2.1664050;5.7629552;21224130;3211.0000000;;41.0154525
226;SMLT;SAMOLET GROUP;Finance;Russian Federation;Real Estate Development;2355;1;15436;144724000000;44.7779963;52.4856000;;2640.00;908.00;40255.1666700;64108.4000000;53.6318000;271.4704277;;3.2800345;0;;;0.0000000;9122184000;9.5052800;;53.6318000;;52.4856000;;0;25.5031912;15348531000;;60182786000;81.9227634;28936741000;3232027000;5.3703513;9.6330569;9.5238064;16.0478614;;;2.4047376;2.3533403;;0.1117695;3.2043441;47.5422118;13.5374529;;3210935;123288000000;;33596580000;113045000000;113045000000;60182786000;61579400;2.3574796;6.8309096;36351780;2358.6666670;;145.8246347
227;AGRO;ROS AGRO PLC;Process Industries;Cyprus;Agricultural Commodities/Milling;1070.8;1;93356;143959000000;5.0489802;213.3104025;19344;1334.00;212.20;170318.6333000;119045.0333000;185.1033074;8.4832484;1.6281180;0.9532279;-5248472378;90.9762120;;8.4131330;38369998950;6.1795900;206287000000;185.1033074;243.3400000;213.3104025;;2365079969;23.7269579;37620178499;12069254137;162502000000;46.9717261;82868824211;24900867974;16.0435159;15.0357331;16.6776318;1.1496505;0.9309920;;0.8101301;0.8915866;0.7678930;0.7506608;10.9716398;24.0218547;15.3534089;8400646.9880000;;290044000000;132069000000;126368000000;141572000000;148897000000;162502000000;134531350;2.8555219;2.9346028;99965605;1072.0666670;48.5571608;27.9330944
229;NMTP;NOVOROSSIYSK COMMERCIAL SEA PORT;Transportation;Russian Federation;Other Transportation;7.22;1;2145400;140693000000;10.6362842;0.6868000;;12.48;1.09;5499927.7780000;3407496.6670000;0.2511000;0.2478784;1.2372492;0.7717318;-24685524269;0.0600000;;0.8213553;28043988680;6.6794500;188550000000;0.2511000;;0.6868000;;30723821694;56.4130746;26512122681;7720861326;45749181367;73.7418478;45966828269;4638525293;28.2573667;49.8837382;51.9326207;1.6598689;1.6488700;;3.0038516;2.9512623;1.1529306;0.4236522;6.9835275;13.7250435;8.4378452;;2952296222;166130000000;27114705113;67038749563;79204407918;79261836844;45749181367;19259800000;2.6370576;2.2746110;15489788;7.2733333;-21.9881145;-10.8641975
231;IDVP;INVEST-DEVELOPMENT;Finance;Russian Federation;Financial Conglomerates;60000;0;0;126631000000;;-76.1200000;;150000.00;600.00;0.4888889;0.5666667;-76.1200000;-425.4386488;;0.3065963;0;;;0.0000000;-29911000;;;-76.1200000;;-76.1200000;;87190000;-230.8774528;-12472000;;5402000;100.0000000;696962000;-160653000;-2973.9540910;-578.5264717;-2822.4546460;63.9323476;;;23441.5846000;23441.5846000;;;-4.4103216;-7.9503952;-5.9590740;;104528;3805374000;;698778000;1526227000;1526227000;5402000;2110520;0.0000000;0.1642036;0;;-41.1764706;7.1428571
232;ROSB;ROSBANK;Finance;Russian Federation;Regional Banks;78.4;0;1000;122871000000;9.6287111;8.2254000;;125.00;26.80;2417.0000000;843.6666667;10.0102000;0.6681879;0.5243557;1.2371062;0;0.0000000;0.0000000;0.0000000;;;257964000000;10.0102000;;8.2254000;;0;;;;107723000000;72.4237874;134162000000;15529000000;12.1951220;13.7147335;14.3445600;0.7482418;0.7368020;5.8187200;1.1743160;1.1405533;;0.6153846;0.9226840;7.8613543;3.9605128;;485589;1396000000000;298695000000;207866000000;1199220000000;1227980000000;107723000000;1551401853;0.7653061;1.1427141;78400;78.6000000;10.4225352;0.7712043
233;SGZH;SEGEZHA GROUP;Process Industries;Russian Federation;Containers/Packaging;7.38;0;4950600;115792000000;;-0.0858000;;8.10;6.77;;7386283.3330000;-0.0858000;0.1612129;1.4855955;7.2400101;-4500000000;;;0.0000000;15237013000;;;-0.0858000;;-0.0858000;0.1474500;443838000;34.0782751;22821367000;;68986649000;43.1984433;60535776000;-1346726000;-1.9521545;12.9942781;-0.7234603;13.2462218;;;1.6784726;1.6784726;;0.6769838;-1.6227730;-11.9936137;-2.2383547;;4110717240;89417643000;24535910000;64205973000;80549427000;80549427000;68986649000;15690000000;3.2967033;2.7034558;36535428;7.3933333;;
234;MVID;M VIDEO;Retail Trade;Russian Federation;Electronics/Appliance Stores;638.7;0;181826;114153000000;17.2626119;36.7903000;;888.40;105.00;361653.5444000;303581.9000000;36.7906000;18.7556338;0.8814005;3.8253515;-5341000000;68.0000000;;5.9842520;49604000000;5.1061700;;36.7431000;;36.7847000;;48975000000;17.5277667;73241000000;;417857000000;57.5970270;121236000000;6541000000;1.5653681;6.1049594;2.5570949;3.3561626;;5.5161600;0.2701832;0.2705296;;0.8448795;1.7486570;19.8917374;4.9388402;;24873462;397617000000;229165000000;128681000000;363978000000;363978000000;417857000000;179507538;1.4479068;2.1304395;116132266;639.5666667;32.7858628;-10.2949438
235;LNTA;LENTA IPJSC;Retail Trade;Russian Federation;Food Retail;233.8;-1;78694;110738000000;6.5878428;35.1404864;;606.50;117.00;274617.0333000;142201.1000000;34.9851612;-6.3487176;0.7705927;1.2001637;0;0.0000000;;0.0000000;43581807466;4.9640700;;34.9851612;11.5800000;35.1404864;14.3000000;0;18.7056451;85134267066;;455489000000;21.9933489;91590063480;16909847661;3.7264934;5.3963607;4.5028549;1.1843016;;5.2068100;0.2454926;0.2456738;;0.5636908;5.1006487;18.1134887;8.5409001;;;278479000000;77209978984;113400000000;183992000000;183992000000;455489000000;483376930;1.1158798;1.8686538;18398657;234.1333333;9.0993934;-11.0011454
237;RGSS;ROSGOSSTRAKH INS;Finance;Russian Federation;Insurance Brokers/Services;0.2098;-1;759000;102306000000;13.3974359;0.0156000;;5.69;0.10;3695411.1110000;1957700.0000000;0.0156000;-0.0050111;1.3672933;0.0438166;0;0.0250130;;0.0000000;;;;0.0156000;;0.0156000;;0;;;;106366000000;32.9080589;-10779807000;7618280000;7.1623587;7.3001355;8.9511517;2.1304791;;7.4651300;0.9618369;0.9618369;;0.3542590;4.4498735;15.1144334;14.7722121;;1772493984;184422000000;70266360000;2104165000;136400000000;136400000000;106366000000;489504000000;2.8237585;3.0046811;159238;0.2088000;39.4946809;-31.7057292
