ID;Ticker;Description;Country;Sector;Industry;Last;Rating;Volume;Market Capitalization;Price to Earnings Ratio (TTM);Basic EPS (TTM);Number of Employees;All Time High;All Time Low;Average Volume (90 day);Average Volume (30 day);Basic EPS (FY);Bull Bear Power;Current Ratio (MRQ);Debt to Equity Ratio (MRQ);Dividends Paid (FY);Dividends per Share (FY);Dividends per Share (MRQ);Dividends Yield (FY);EBITDA (TTM);Enterprise Value/EBITDA (TTM);Enterprise Value (MRQ);EPS Diluted (FY);EPS Diluted (MRQ);EPS Diluted (TTM);EPS Forecast (FQ);Goodwill;Gross Margin (TTM);Gross Profit (FY);Gross Profit (MRQ);Last Year Revenue (FY);Money Flow (14);Net Debt (MRQ);Net Income (FY);Net Margin (TTM);Operating Margin (TTM);Pretax Margin (TTM);Price to Book (FY);Price to Book (MRQ);Price to Free Cash Flow (TTM);Price to Revenue Ratio (TTM);Price to Sales (FY);Quick Ratio (MRQ);Relative Volume;Return on Assets (TTM);Return on Equity (TTM);Return on Invested Capital (TTM);Revenue per Employee (TTM);Shares Float;Total Assets (MRQ);Total Current Assets (MRQ);Total Debt (MRQ);Total Liabilities (FY);Total Liabilities (MRQ);Total Revenue (FY);Total Shares Outstanding (MRQ);Volatility;Volatility Month;Volume*Price;Volume Weighted Average Price;Yearly Performance;YTD Performance
27;VTBR;VTB BANK;Russian Federation;Finance;Regional Banks;0,04805;1;59596050000;6,21E+11;5,92592593;0,0081;;0,1749;0,019;68657095889;44115755333;0,005;0,00152209;2,57111066;1,60650447;-26700000000;0,0014;;0,03549061;;;1,85E+12;0,005;0,00341988;0,0081;0,002924;1,18E+11;;;;1,41E+12;42,25301259;1,30E+12;65200000000;8,17835188;7,62586569;9,69574352;0,39973351;0,342905;;0,48399975;0,44253865;;1,43988184;0,59754784;6,61672123;2,9854138;;3,92E+12;1,86E+13;2,54E+12;2,59E+12;1,66E+13;1,70E+13;1,41E+12;1,30E+13;2,4648626;2,06501511;2863590203;0,04818833;24,64332036;26,79773057
28;PHOR;PHOSAGRO;Russian Federation;Process Industries;Chemicals: Agricultural;4628;-1;106779;6,04E+11;11,87524501;392,834;;12750;782,90002;97196,22222;82418,9;130,749;-59,72942349;0,91568299;1,28050946;-38852000000;297;105;6,9423614;1,02E+11;6,48039;6,68E+11;130,749;142;392,834;197,627331;0;45,24693583;1,18E+11;34624000000;2,54E+11;55,37303922;1,44E+11;16932000000;18,33886085;27,09480894;24,81146359;5,71988884;4,15763;87,0464;2,17778479;2,37954892;0,60293756;2,23682309;15,55281083;43,79778222;20,52001904;;43749373,5;3,35E+11;78116000000;1,62E+11;2,19E+11;2,08E+11;2,54E+11;129500000;2,80130293;2,12257192;494173212;4655,666667;70,08452775;47,57653061
29;MGNT;MAGNIT;Russian Federation;Retail Trade;Food Retail;5381,5;2;194255;5,37E+11;15,66639767;337,9251;316001;12944;2289;345714,7444;295476,4;337,9456;205,5129469;0,93899454;2,86327063;-29871472000;490,62;;9,306146;1,73E+11;5,99845;;336,0695;106,8039745;336,0696;;26879317000;17,91500782;2,78E+11;;1,55E+12;60,12283387;4,79E+11;32993292000;2,1234247;5,4850136;2,74830335;2,81157663;;6,0751;0,33408912;0,33266421;;0,77989375;3,45426153;17,76594567;5,1734227;4917001,373;65674913,37;9,62E+11;2,67E+11;5,24E+11;7,77E+11;7,77E+11;1,55E+12;101911000;1,37050596;1,7457759;1045383283;5369,166667;16,18091537;-5,34693519
30;FIXP;FIX PRICE GROUP LT;Russian Federation;Retail Trade;Department Stores;560,1;-1;164159;4,56E+11;;;;757;538,3;147309,4778;116520,9;21,13902552;-39,93649275;0,69604744;-7,1299529;-14531282068;;;0;;;;21,13902552;;;;205013109;;52802920982;;1,94E+11;13,88216977;-643041117,5;17967305639;;;;;;;;2,39686826;;1,04251501;24,61041636;358,2821786;214,9800867;;;82112250447;56813632795;25733645469;85721481229;85721481229;1,94E+11;850000000;1,71325518;3,01664132;91945455,9;559,5333333;;
31;MOEX;MOSCOW EXCHANGE;Russian Federation;Finance;Investment Banks/Brokers;173,13;1;3333710;3,91E+11;14,89640112;11,5665;1980;192,63;42,619999;7773900,778;6541414,333;11,1571;4,90141076;;34,08310941;-17899400000;9,45;;5,4967427;35533200000;110,346;4,71E+12;11,1378;3,03;11,5397;2,91;15971400000;87,80793646;44127000000;11636000000;50486400000;61,59529854;4,32E+12;25158000000;51,04238192;62,77335994;64,3442198;2,78860478;2,73924;;7,61472998;7,69092139;;0,51036972;0,49848248;18,7235835;18,65587016;25498181,82;1432101451;5,79E+12;;4,89E+12;4,79E+12;5,65E+12;50486400000;2276400000;1,20433096;1,68979293;577165212,3;173,5433333;19,11247891;8,71585557
32;MAIL;MAIL,RU GROUP LTD;Cyprus;Technology Services;Internet Software/Services;1518;-1;375261;3,69E+11;;-64,23629128;8842;2448;1465,8;423057,2778;284831,7;-97,35194328;-77,05403528;1,18688728;0,35568499;0;0;0;0;20227673576;24,776;4,15E+11;-97,35194328;-14,837827;-64,23629128;0,96793;1,36E+11;11,60647637;10199961614;1528998144;1,03E+11;19,9455835;29631019618;-21386389751;-13,27691155;3,48504283;6,73446201;1,9569175;2,16492;25,6142;3,223015;3,30989177;1,18688728;1,49699732;-5,36645413;-8,24145635;-6,70009308;11623904,88;;2,91E+11;61260040559;64183042495;1,09E+11;1,10E+11;1,03E+11;227874940;1,39944022;2,11284038;569646198;1513,4;-25,27321059;-23,36429725
33;UNAC;UNITED AIRCRAFT CO;Russian Federation;Electronic Technology;Aerospace & Defense;0,72;1;6445000;3,58E+11;;;;1,002;0,0745;13513266,67;12052766,67;;-0,01357426;1,05608781;-25,15307986;;;;0;;;;;;;;0;;;;;53,31947708;4,33E+11;;;;;;;;;;;0,88813251;;;;;5,20E+11;1,07E+12;7,81E+11;6,06E+11;;1,10E+12;;5,20E+11;10,04497751;5,9772255;4640400;0,707;45,45454545;80,67754078
34;VSMO;VSMPO-AVISMA CORPO;Russian Federation;Non-Energy Minerals;Other Metals/Minerals;30620;1;162;3,57E+11;53,91480934;570,5297;;31320;5571;765,8;910,2333333;570,0723;997,8889881;2,75919106;0,51233101;-30278000;0;;0;33513586000;8,11417;;570,0723;;570,5297;;2001817000;32,83095766;29236194000;;89050689000;54,31222928;33960897000;6568782000;7,37645275;19,5075672;7,26261197;1,75245657;;6,53293;3,97698334;3,98019162;;0,14118877;1,8696376;3,422317;2,46331361;;922901,8865;3,60E+11;1,35E+11;1,04E+11;1,57E+11;1,57E+11;89050689000;11529500;1,30890052;2,77665601;4960440;30713,33333;70,87053571;47,21153846
35;HYDR;RUSHYDRO;Russian Federation;Utilities;Electric Utilities;0,811;-1;237369000;3,53E+11;8,30020492;0,0976;;2,199;0,359;473146755,6;447198800;0,1087;0,00932556;1,37653651;0,28998824;-15543000000;0,053048;;6,5483274;72649000000;6,29908;4,96E+11;0,1087;;0,0976;;481000000;18,45408188;75786000000;21781000000;3,83E+11;29,26020593;1,33E+11;46354000000;10,6907365;11,09630939;15,61017591;0,58831646;0,570424;21,502;0,90892522;0,90199365;1,16761815;0,62761629;4,37253952;6,85747153;5,6607133;;84895359583;9,46E+11;2,08E+11;1,83E+11;3,42E+11;3,16E+11;3,83E+11;4,35E+11;1,74246169;1,712549;192506259;0,8145;6,0130719;3,69517964
36;IRAO;INTER RAO UES;Russian Federation;Utilities;Electric Utilities;4,366;-2;161875300;3,22E+11;4,33931565;1,0141;;9,27;0,47;181953561,1;183615023,3;1,0197;-0,12874481;3,77811252;0,1493704;-15660000000;0,180711;;4,121117;1,44E+11;1,17441;1,37E+11;1,0197;;1,0141;;2873000000;13,09146274;1,25E+11;49157000000;9,86E+11;27,79890465;-2,42E+11;74989000000;7,24145565;11,15887371;8,9545978;0,52711204;0,581763;5,50601;0,31423195;0,32811332;3,60497457;0,92603506;8,90594996;12,05820769;10,89524121;;26173288594;8,84E+11;4,70E+11;97224000000;2,72E+11;2,33E+11;9,86E+11;73714907000;1,42267095;1,78714311;706747559,8;4,38133333;-24,80840437;-17,62264151
