ID;Ticker;Description;Country;Sector;Industry;Last;Rating;Volume;Market Capitalization;Price to Earnings Ratio (TTM);Basic EPS (TTM);Number of Employees;All Time High;All Time Low;Average Volume (90 day);Average Volume (30 day);Basic EPS (FY);Bull Bear Power;Current Ratio (MRQ);Debt to Equity Ratio (MRQ);Dividends Paid (FY);Dividends per Share (FY);Dividends per Share (MRQ);Dividends Yield (FY);EBITDA (TTM);Enterprise Value/EBITDA (TTM);Enterprise Value (MRQ);EPS Diluted (FY);EPS Diluted (MRQ);EPS Diluted (TTM);EPS Forecast (FQ);Goodwill;Gross Margin (TTM);Gross Profit (FY);Gross Profit (MRQ);Last Year Revenue (FY);Money Flow (14);Net Debt (MRQ);Net Income (FY);Net Margin (TTM);Operating Margin (TTM);Pretax Margin (TTM);Price to Book (FY);Price to Book (MRQ);Price to Free Cash Flow (TTM);Price to Revenue Ratio (TTM);Price to Sales (FY);Quick Ratio (MRQ);Relative Volume;Return on Assets (TTM);Return on Equity (TTM);Return on Invested Capital (TTM);Revenue per Employee (TTM);Shares Float;Total Assets (MRQ);Total Current Assets (MRQ);Total Debt (MRQ);Total Liabilities (FY);Total Liabilities (MRQ);Total Revenue (FY);Total Shares Outstanding (MRQ);Volatility;Volatility Month;Volume*Price;Volume Weighted Average Price;Yearly Performance;YTD Performance
47;FLOT;PAO SOVCOMFLOT;Russian Federation;Transportation;Marine Shipping;87,15;-1;623140;2,05E+11;15,39831203;5,6162;;105;86;1638119,222;1179512,667;9,4184;-1,65665501;1,80467094;0,79576366;-7096564559;6,67;;7,7127657;57421276950;5,75039;4,06E+11;9,4184;0;5,6162;1,461074;0;29,08350161;42207700444;6537611230;1,20E+11;21,31855757;1,86E+11;19343130908;9,9975014;23,0881449;11,84187383;0,68643414;0,696165;12,1506;1,79351613;1,48541926;1,69218381;0,79558048;1,92928784;3,94678949;2,18559603;;408296405,9;5,85E+11;77518939613;2,48E+11;2,70E+11;2,73E+11;1,20E+11;2374990000;1,43768116;1,04925118;54306651;86,96333333;;-3,78671001
48;NKNC;NIZHNEKAMSKNEFTEK;Russian Federation;Process Industries;Chemicals: Specialty;114,85;1;182760;2,01E+11;23,02029528;4,9174;;129,95;18,277;158017,7778;117527;4,9174;1,24689184;2,51884596;0,7037259;-16561000000;0,73;;0,64430714;28150000000;8,86318;;4,9174;;4,9174;;83000000;22,96657553;35366000000;;1,54E+11;65,08018902;81193000000;9000000000;5,84457331;14,18023365;7,08362286;1,50612929;;;1,34544117;1,34544117;;1,71663661;3,71977681;6,36789449;4,18991487;;303604888;2,69E+11;63820000000;97459000000;1,30E+11;1,30E+11;1,54E+11;1830244000;3,78619154;3,82993131;20989986;114,5333333;22,76856902;25,58775699
49;NKNCP;NIZHNEKAMSKNEFTEK;Russian Federation;Process Industries;Chemicals: Specialty;82,98;1;123270;2,01E+11;16,77309147;4,9174;;103,76;12,06;228747,6667;234620;4,9174;2,56105102;2,51884596;0,7037259;-16561000000;0,73;;0,885063;28150000000;8,06671;;4,9174;;4,9174;;83000000;22,96657553;35366000000;;1,54E+11;78,22241436;81193000000;9000000000;5,84457331;14,18023365;7,08362286;1,0973988;;;0,98031791;0,98031791;;0,53175565;3,71977681;6,36789449;4,18991487;;143018012,4;2,69E+11;63820000000;97459000000;1,30E+11;1,30E+11;1,54E+11;1830244000;1,38483965;2,1154753;10228944,6;82,92;2,44444444;4,77273124
50;MGTSP;MOSCOW CITY TELEPH;Russian Federation;Communications;Specialty Telecommunications;1384;-1;852;1,90E+11;;;;2698;361,01001;2371,344444;1632,7;135,6923;-25,04403008;0,86838575;0,19616545;-3000000;0;;0;;9,11153;;135,6923;;;;1336000000;;18243000000;;41161000000;25,44676933;12814000000;12921000000;;;;1,55245382;;13,7902;;3,19252337;;0,66818289;11,13869708;16,53898585;13,91516927;;;1,24E+11;17478000000;16708000000;37225000000;37225000000;41161000000;79708800;2,19619327;2,00047052;1179168;1382;-30,66132265;-26,22601279
51;MGTS;MOSCOW CITY TELEPH;Russian Federation;Communications;Specialty Telecommunications;2090;-1;60;1,90E+11;;;;3860;351;123,4111111;65,43333333;135,6923;-66,50495684;0,86838575;0,19616545;-3000000;0;;0;;10,7566;;135,6923;;;;1336000000;;18243000000;;41161000000;39,92870142;12814000000;12921000000;;;;2,38492906;;16,4659;;4,90445619;;0,8797654;11,13869708;16,53898585;13,91516927;;670351,008;1,24E+11;17478000000;16708000000;37225000000;37225000000;41161000000;79708800;3,39805825;2,03930247;125400;2085;-11,06382979;-6,69642857
52;KZOSP;ORGANICHESKY SINTE;Russian Federation;Producer Manufacturing;Miscellaneous Manufacturing;30,83;-1;206540;1,81E+11;;;;47,15;2,21;1248678,667;376404,3333;4,7073;-0,38748683;2,44509558;0,00054955;-8150000000;3,36;;0,80671185;;10,0748;;4,7073;;;;0;;15756000000;;62935000000;45,70631007;-7652000000;8431000000;;;;0,84603732;;;;0,879013;;0,5227577;11,39378214;12,89281727;12,89035326;;399398726,3;75163000000;17524000000;36000000;9655000000;9655000000;62935000000;1785110000;2,56493506;4,33653568;6367628,2;31,07333333;153,744856;167,85404
53;KZOS;ORGANICHESKY SINTE;Russian Federation;Producer Manufacturing;Miscellaneous Manufacturing;98,5;1;53750;1,81E+11;;;;135,8;3;154831,3333;116110,3333;4,7073;0,33875557;2,44509558;0,00054955;-8150000000;3,36;;3,3905146;;10,0748;;4,7073;;;;0;;15756000000;;62935000000;50,00978756;-7652000000;8431000000;;;;2,70546299;;;;2,81091281;;0,563305;11,39378214;12,89281727;12,89035326;;399398726,3;75163000000;17524000000;36000000;9655000000;9655000000;62935000000;1785110000;2,44648318;4,45023916;5294375;99,03333333;10,6741573;20,85889571
54;RASP;RASPADSKAYA;Russian Federation;Energy Minerals;Coal;257,5;1;464780;1,76E+11;13,84364296;18,6266;;274;15,43;856526,6667;824535;18,7544;13,57911906;0,70099161;0;-3690097803;8,4;;3,2575815;14686614840;4,31438;;18,7544;;18,6266;;0;29,54786072;13313294034;;44787657647;60,85522935;-42825387600;12806810022;28,49070616;21,74823068;36,03967104;2,22905594;;20,4194;3,94407342;3,93148482;;0,83800766;8,37553185;16,52299985;16,52299985;;44992213,79;2,02E+11;67973283600;0;1,23E+11;1,23E+11;44787657647;682859000;2,3125;3,56575246;119680850;258,4333333;134,0058161;65,29721402
55;UPRO;UNIPRO;Russian Federation;Utilities;Electric Utilities;2,75;-1;20117000;1,74E+11;13,39951574;0,2065;4607;3,443;0,18700001;50689900;46041633,33;0,2181;0,00441107;1,8664596;0,00888045;-14000000000;0,237911;;8,598157;22974201000;6,60373;1,83E+11;0,2181;;0,2065;;0;29,3237941;23025445000;5938007000;75316709000;46,05914805;-3251824000;13749717000;17,04511239;21,68039416;20,80944658;1,44722872;1,49317;;2,28360678;2,31629571;1,42004722;0,37579322;9,31700874;10,40514514;10,35587692;16348319,73;10256510321;1,39E+11;15802061000;1105800000;15444033000;14364513000;75316709000;63048700000;0,87527352;1,32155425;55321750;2,75266667;-2,44767648;-1,32759239
56;AFLT;AEROFLOT;Russian Federation;Transportation;Airlines;67,34;-1;5033320;1,62E+11;;-73,5542;;225;0,01;14094671,89;9498698,667;-87,4381;-0,44180952;0,57149269;-5,01130812;-518000000;;;0;11876000000;27,9076;8,28E+11;-87,4381;;-73,5542;;0;-28,00568813;-61291000000;-9785000000;2,99E+11;27,61020338;6,75E+11;-1,18E+11;-48,79127182;-43,42180212;-60,79968452;;;;0,64383227;0,30376466;0,48880297;0,66041016;-11,97344318;;-26,24117502;;974269972,6;9,96E+11;1,78E+11;7,53E+11;1,27E+12;1,15E+12;2,99E+11;2396722204;1,19868145;1,3622232;338943768,8;67,20666667;-17,83796874;-5,73908439
57;HHRU;HEADHUNTER GROUP P;Russian Federation;Technology Services;Internet Software/Services;3194;1;6645;1,61E+11;72,59723592;46,00605296;226;3750;1740,4;10452,8;13535,46667;35,60646216;21,06555562;0,73032716;1,85694385;-1927382825;;;1,0709382;4119902458;30,6623;1,33E+11;34,65971784;14,599897;44,76754464;20,412317;10669388064;43,85966367;3728223973;1269057299;8466343304;47,89998304;3580191370;1787865791;24,95544546;35,59654411;34,5338342;47,54388406;29,4698;93,8694;17,6318997;19,80185624;;0,51222163;13,52572938;73,69245242;25,74345343;37461696,04;;20683878695;5266712487;8414033571;14689614000;16018755606;8466343304;50317860;2,16640502;5,76295523;21224130;3211;;41,01545254
58;SMLT;SAMOLET GROUP;Russian Federation;Finance;Real Estate Development;2355;1;15436;1,45E+11;44,77799625;52,4856;;2640;908;40255,16667;64108,4;53,6318;271,4704277;;3,28003451;0;;;0;9122184000;9,50528;;53,6318;;52,4856;;0;25,50319123;15348531000;;60182786000;81,92276338;28936741000;3232027000;5,37035125;9,63305687;9,52380636;16,04786144;;;2,40473758;2,35334025;;0,11176946;3,20434414;47,54221175;13,53745285;;3210934,654;1,23E+11;;33596580000;1,13E+11;1,13E+11;60182786000;61579400;2,35747964;6,83090957;36351780;2358,666667;;145,8246347
59;AGRO;ROS AGRO PLC;Cyprus;Process Industries;Agricultural Commodities/Milling;1070,8;1;93356;1,44E+11;5,04898021;213,3104025;19344;1334;212,2;170318,6333;119045,0333;185,1033074;8,48324844;1,62811797;0,95322786;-5248472378;90,976212;;8,413133;38369998950;6,17959;2,06E+11;185,1033074;243,34;213,3104025;;2365079969;23,72695789;37620178499;12069254137;1,63E+11;46,97172609;82868824211;24900867974;16,04351592;15,03573312;16,67763184;1,14965048;0,930992;;0,81013007;0,89158656;0,76789301;0,75066076;10,97163982;24,02185467;15,35340886;8400646,988;;2,90E+11;1,32E+11;1,26E+11;1,42E+11;1,49E+11;1,63E+11;134531350;2,85552194;2,93460276;99965604,8;1072,066667;48,55716077;27,93309438
60;NMTP;NOVOROSSIYSK COMMERCIAL SEA PORT;Russian Federation;Transportation;Other Transportation;7,22;1;2145400;1,41E+11;10,63628422;0,6868;;12,48;1,09;5499927,778;3407496,667;0,2511;0,24787838;1,23724918;0,77173183;-24685524269;0,06;;0,8213553;28043988680;6,67945;1,89E+11;0,2511;;0,6868;;30723821694;56,41307456;26512122681;7720861326;45749181367;73,74184782;45966828269;4638525293;28,25736667;49,88373821;51,9326207;1,65986889;1,64887;;3,00385164;2,95126228;1,1529306;0,42365217;6,98352751;13,72504347;8,43784518;;2952296222;1,66E+11;27114705113;67038749563;79204407918;79261836844;45749181367;19259800000;2,6370576;2,27461097;15489788;7,27333333;-21,98811453;-10,86419753
61;IDVP;INVEST-DEVELOPMENT;Russian Federation;Finance;Financial Conglomerates;60000;0;0;1,27E+11;;-76,12;;150000;600;0,48888889;0,56666667;-76,12;-425,4386488;;0,30659628;0;;;0;-29911000;;;-76,12;;-76,12;;87190000;-230,8774528;-12472000;;5402000;100;696962000;-160653000;-2973,954091;-578,5264717;-2822,454646;63,93234764;;;23441,5846;23441,5846;;;-4,41032163;-7,95039521;-5,959074;;104527,724;3805374000;;698778000;1526227000;1526227000;5402000;2110520;0;0,16420361;0;;-41,17647059;7,14285714
62;ROSB;ROSBANK;Russian Federation;Finance;Regional Banks;78,4;0;1000;1,23E+11;9,62871107;8,2254;;125;26,799999;2417;843,6666667;10,0102;0,66818788;0,52435565;1,23710616;0;0;0;0;;;2,58E+11;10,0102;;8,2254;;0;;;;1,08E+11;72,42378737;1,34E+11;15529000000;12,19512195;13,71473354;14,34455998;0,74824177;0,736802;5,81872;1,17431595;1,14055329;;0,61538462;0,922684;7,8613543;3,96051282;;485588,78;1,40E+12;2,99E+11;2,08E+11;1,20E+12;1,23E+12;1,08E+11;1551401853;0,76530612;1,14271406;78400;78,6;10,42253521;0,77120434
63;SGZH;SEGEZHA GROUP;Russian Federation;Process Industries;Containers/Packaging;7,38;0;4950600;1,16E+11;;-0,0858;;8,1;6,77;;7386283,333;-0,0858;0,16121291;1,48559553;7,24001005;-4500000000;;;0;15237013000;;;-0,0858;;-0,0858;0,14745;443838000;34,07827506;22821367000;;68986649000;43,19844334;60535776000;-1346726000;-1,95215454;12,99427807;-0,72346027;13,24622178;;;1,6784726;1,6784726;;0,67698384;-1,62277296;-11,99361368;-2,23835466;;4110717240;89417643000;24535910000;64205973000;80549427000;80549427000;68986649000;15690000000;3,2967033;2,70345577;36535428;7,39333333;;
64;MVID;M VIDEO;Russian Federation;Retail Trade;Electronics/Appliance Stores;638,7;0;181826;1,14E+11;17,2626119;36,7903;;888,40002;105;361653,5444;303581,9;36,7906;18,75563382;0,88140046;3,82535153;-5341000000;68;;5,984252;49604000000;5,10617;;36,7431;;36,7847;;48975000000;17,52776668;73241000000;;4,18E+11;57,59702703;1,21E+11;6541000000;1,56536806;6,10495935;2,55709489;3,35616264;;5,51616;0,27018324;0,27052963;;0,84487945;1,74865696;19,89173737;4,93884023;;24873462;3,98E+11;2,29E+11;1,29E+11;3,64E+11;3,64E+11;4,18E+11;179507538;1,44790683;2,13043954;116132266,2;639,5666667;32,78586279;-10,29494382
65;LNTA;LENTA IPJSC;Russian Federation;Retail Trade;Food Retail;233,8;-1;78694;1,11E+11;6,58784278;35,14048644;;606,5;117;274617,0333;142201,1;34,9851612;-6,34871757;0,77059268;1,20016367;0;0;;0;43581807466;4,96407;;34,9851612;11,58;35,14048644;14,3;0;18,70564507;85134267066;;4,55E+11;21,99334885;91590063480;16909847661;3,72649338;5,3963607;4,50285491;1,1843016;;5,20681;0,24549257;0,24567381;;0,56369082;5,10064873;18,11348866;8,54090005;;;2,78E+11;77209978984;1,13E+11;1,84E+11;1,84E+11;4,55E+11;483376930;1,11587983;1,86865382;18398657,2;234,1333333;9,09939337;-11,00114537
66;RGSS;ROSGOSSTRAKH INS;Russian Federation;Finance;Insurance Brokers/Services;0,2098;-1;759000;1,02E+11;13,3974359;0,0156;;5,69;0,1002;3695411,111;1957700;0,0156;-0,00501105;1,36729328;0,04381661;0;0,025013;;0;;;;0,0156;;0,0156;;0;;;;1,06E+11;32,90805891;-10779807000;7618280000;7,1623587;7,30013549;8,95115174;2,1304791;;7,46513;0,96183691;0,96183691;;0,35425904;4,44987353;15,11443341;14,77221206;;1772493984;1,84E+11;70266360000;2104165000;1,36E+11;1,36E+11;1,06E+11;4,90E+11;2,82375852;3,00468108;159238,2;0,2088;39,49468085;-31,70572917
67;APTK;PHARMACY CHAIN 36;Russian Federation;Retail Trade;Drugstore Chains;13,328;-2;85650;1,02E+11;;-0,3157;;86,18;3,82;362748,5556;145682,6667;-0,3135;-0,11870861;1,2345257;-8,71581346;0;0;;0;6226000000;23,184;;-0,3135;;-0,3157;;3381000000;21,77146204;8549000000;;39267000000;21,40317104;48712000000;-2134000000;-2,52629434;3,07128123;-1,63750732;;;;2,59691643;2,3165048;;0,82582076;-2,27920228;;-5,53772295;;5856408438;54428000000;30336000000;49715000000;60132000000;60132000000;39267000000;7630430000;1,26296797;1,03865439;1141543,2;13,36666667;-0,20964361;-5,13879004
68;DSKY;DETSKY MIR PUBLIC;Russian Federation;Retail Trade;Apparel/Footwear Retail;140;-1;2641390;1,01E+11;;;;161,96;70,519997;2214053,778;1859796;9,1878;-3,6107909;0,98355436;-47,7154973;-7775000000;13,65;;8,133936;;5,84946;;9,1878;2,215804;;2,429001;0;;33560000000;7868000000;1,43E+11;35,16648356;60873000000;6749000000;;;;;;13,7497;;0,70936042;0,12042001;1,62706078;7,11713374;;18,45627948;;452024869;96300000000;48802000000;61887000000;99626000000;97597000000;1,43E+11;739000000;1,93651718;1,67688194;369794600;139,1266667;15,15051818;2,79001468
69;GLTR;GLOBALTRANS INVEST;Cyprus;Transportation;Railroads;576,2;2;170650;99645730203;9,07828752;61,07980152;;590;433,70001;263369,2222;142622,3333;60,56205072;70,45801121;0,80892698;0,6332655;-17008549764;70,48570634;;12,506136;27545506020;4,13831;;60,56205072;;61,07980152;;0;31,55635131;21980246870;;69893487534;79,52879334;28443331732;10822845519;15,57152507;28,07825359;24,52276798;2,11459425;;;1,41318413;1,41775616;;0,97811633;9,9997475;20,32057012;13,91963962;;178655284,5;98611225429;12035615585;33421972078;45834037734;45834037734;69893487534;178664039;6,11510791;2,86639394;98328530;574,0666667;;26,42896325
70;GCHE;CHERKIZOVO GROUP;Russian Federation;Process Industries;Agricultural Commodities/Milling;2377;1;5853;95598500599;6,29890509;369,7468;;2550;441,20001;8860,155556;4141,433333;369,7468;143,7303558;1,13603613;0,99016717;-4503000000;182,79;134;7,26535;23131000000;6,2412;1,46E+11;369,7468;;369,7468;;1628000000;24,40548745;30336000000;7896000000;1,29E+11;75,1186323;64477000000;15177000000;11,78311064;11,56494802;11,40113196;1,33829597;1,13373;60,3471;0,74220706;0,74220706;0,34847968;1,11711265;9,76901811;23,02371092;13,84352268;;1315269,021;1,66E+11;56603000000;71195000000;94367000000;94367000000;1,29E+11;41047000;1,93452381;1,52781825;13912581;2375,5;33,80242049;20,47643183
71;AVAN;AVANGARD JSB;Russian Federation;Finance;Regional Banks;1190;1;1183;93611996460;;;;1435;180;414,4777778;218,6666667;;79,68813775;1,38599043;0,20606931;;;;5,875;;;;;;;;0;;;;;88,82438905;-13409763000;;;;;;;;;;;3,51142772;4,22201108;19,37348017;19,36589747;;14445,3;1,25E+11;83366795000;5398060000;;98777025000;;80700000;1,26582278;1,60265257;1407770;1191,666667;63,01369863;13,33333333
72;CHEP;CHELYABINSK PIPE;Russian Federation;Producer Manufacturing;Miscellaneous Manufacturing;308,5;2;1550;93543073792;14,97885338;20,4288;;335;20,549999;4724,888889;2293,333333;20,4288;3,63132454;1,4725094;10,89454545;-5463000000;6,55;;2,140523;27207000000;5,6982;;20,4288;;20,4288;;7020000000;29,60885352;39613000000;;1,38E+11;57,39990771;78718000000;6245000000;4,52605107;13,88834533;6,11542336;11,87848542;;;0,67795156;0,67795156;;1,30912162;4,44092047;92,33385082;7,98195273;;7238575,584;1,33E+11;65375000000;86884000000;1,25E+11;1,25E+11;1,38E+11;305696000;1,47540984;1,39754871;478175;307,6666667;47,25536993;21,93675889
73;MSNG;MOSENERGO;Russian Federation;Utilities;Electric Utilities;2,1965;-1;9215000;87706963584;7,4393122;0,2966;;9,05206321;0,48512028;10931900;11494266,67;0,2024;0,01484557;5,61085444;0,06217204;-4766000000;0,17945;0;8,13279;38912000000;2,79819;98676700000;0,2024;;0,2966;;0;10,82097609;17657000000;14006000000;1,81E+11;48,75291995;8049000000;8045000000;5,91992608;7,81205277;7,13062604;0,26594719;0,267016;7,25438;0,44042246;0,48481089;4,80256053;1,35562551;2,83493348;3,51052726;3,26678665;;7831903781;4,14E+11;1,01E+11;21102000000;77200000000;74636000000;1,81E+11;39749400000;2,48801643;1,60474661;20240747,5;2,21066667;1,87847866;6,29082991
74;POGR;PETROPAVLOVSK PLC;United Kingdom;Non-Energy Minerals;Precious Metals;22,26;-1;5310400;86867895749;;-1,01105589;8860;41,174999;21,765;7351961,111;6867386,667;-1,01105589;-1,08146874;1,87833227;0,80424364;0;0;;0;25724592167;6,03954;;-1,01105589;0,4437864;-1,01105589;0,3652685;0;31,6705855;24678631394;;77939682521;30,08680805;37334178876;-3597874765;-4,61551022;19,34557087;-2,47575688;1,80250918;;253,32;1,11688396;1,02368594;;0,67456522;-2,67413774;-7,43792922;-3,91986101;8796803,896;2268607917;1,28E+11;28830126019;39952813252;78355703237;78355703237;77939682521;3957270000;2,33189948;2,65772561;118209504;22,315;-38,02894978;-28,53932584
75;YAKG;YAKUTSK FUEL & ENE;Russian Federation;Energy Minerals;Oil & Gas Production;93,9;-1;12700;79136181430;121,3696893;0,7885;;140,7;2;15308,88889;11283,33333;0,7888;-6,22913014;3,25651042;0,62238529;0;0;;0,6374086;3295000000;14,1775;;0,7888;;0,7885;;0;63,26401016;3985000000;;6299000000;28,2106383;4343000000;652000000;10,35084934;46,03905382;14,66899508;6,67478056;;;12,56329325;12,55813716;;1,38797814;2,51684005;5,64771103;3,91544559;;188874088;22926000000;7503000000;7379000000;11070000000;11070000000;6299000000;826919000;2,37837838;3,0324122;1192530;93,7;119,906318;76,50375608
76;LSRG;LSR GROUP;Russian Federation;Finance;Real Estate Development;771;0;148170;78529634966;6,40285312;120,009;;2400;101;160071,2556;93775,6;120,009;26,95153565;2,76814942;1,13861634;-5031000000;59;;7,7407503;22425000000;5,23763;;120,009;;120,009;27,5;3335000000;32,84569512;38775000000;;1,18E+11;60,79910236;30640000000;12025000000;10,18618914;17,3694643;13,40934503;0,83937592;;;0,65220643;0,65220643;;1,47148057;4,13690845;13,69293661;6,87011344;;48108003,96;3,01E+11;2,53E+11;1,04E+11;2,09E+11;2,09E+11;1,18E+11;103030000;1,81676616;1,61060669;114239070;775,4;0,02594837;-11,13416116
77;OGKB;OGK-2;Russian Federation;Utilities;Electric Utilities;0,6748;-1;124617000;76756613663;;;;4,85;0,12;80227144,44;119614233,3;;-0,02730201;1,65968279;0,27694755;;;;8,639568;;;;;;;;0;;;;;24,52028262;39398000000;;;;;;;;;;;1,0538088;5,47133764;8,42841588;6,91293239;;16532686377;2,12E+11;33904000000;39696000000;;68862000000;;1,10E+11;1,81736928;2,08705552;84091551,6;0,67653333;-11,80237877;-7,56164384
78;TRMK;TMK PAO;Russian Federation;Industrial Services;Oilfield Services/Equipment;98,8;2;19098040;74964300359;40,84435688;1,7765;;330;13,99;1480891,222;1086099,667;3,9834;23,95014446;1,05641789;5,39237698;-3097000000;12,67;;17,461412;27338000000;6,79782;4,00E+11;3,9834;;1,7765;;47874000000;20,10345881;47188000000;12068000000;2,23E+11;91,26978354;3,15E+11;3808000000;0,78411795;6,05733271;1,90262649;1,07531168;1,28716;2,48552;0,32261709;0,31158288;0,68501992;27,49185236;0,35631695;2,75189174;0,72523619;;506238600;6,22E+11;2,57E+11;3,60E+11;3,47E+11;5,55E+11;2,23E+11;1033140000;37,3939228;4,96618074;1886886352;90,62;69,062289;61,54349248
79;KAZTP;KUIBYSHEVAZOT;Russian Federation;Process Industries;Chemicals: Specialty;299;1;2890;67153642106;;;;323;35;9271,777778;6260,666667;;46,77378767;1,62297393;0,84382918;;;;;;;;;;;;0;;;;;78,64115591;25119983815;;;;;;;;;;;0,56138306;-3,11261958;-6,63001831;-3,8522022;;1871498,655;68269956012;16120989613;27307982405;;35907976864;;237844510;2,80936455;5,49299931;864110;301,8;100,9408602;96,96969697
80;KAZT;KUIBYSHEVAZOT;Russian Federation;Process Industries;Chemicals: Specialty;285,4;1;8040;67153642106;;;;334;50;34685,44444;23860,33333;;16,7994524;1,62297393;0,84382918;;;;2,3884242;;;;;;;;0;;;;;74,28780813;25120000000;;;;;;;;;;;0,36332414;-2,76205023;-5,88253094;-3,42467563;;75147927,42;68270000000;16121000000;27308000000;;35908000000;;237844510;3,51506456;4,71528077;2294616;284,2666667;92,31807226;82,94871795
81;LSNG;ROSSETI LENENERGO;Russian Federation;Utilities;Electric Utilities;6,15;1;512000;66227452007;;;;18,59;1,4;426484,4444;302413,3333;;0,0369942;0,38444764;0,19183834;;;;4,3548923;;;;;;;;0;;;;;29,04654961;20936444000;;;;;;;;;;;3,57766753;5,78264346;8,97386704;7,52392169;;88383178,51;2,15E+11;14005900000;27791962000;;70141729000;;8617054300;2,65780731;1,7725405;3148800;6,11666667;0,32626427;15,81920904
82;LSNGP;ROSSETI LENENERGO;Russian Federation;Utilities;Electric Utilities;160,4;1;135430;66227452007;;;;175,5;9,25;215915,3333;283545,3333;;0,21775563;0,38444764;0,19183834;;;;9,540126;;;;;;;;0;;;;;57,82638449;20936444000;;;;;;;;;;;0,81767576;5,78264346;8,97386704;7,52392169;;69639240,37;2,15E+11;14005900000;27791962000;;70141729000;;8617054300;1,93835399;2,21389537;21722972;159,3833333;5,18032787;4,97382199
83;MSRS;ROSSETI MOSCOW REG;Russian Federation;Utilities;Electric Utilities;1,2435;1;3490000;58521570168;8,07459677;0,1488;;1,852;0,639;4156555,556;2605200;0,0976;0,07349589;0,46034449;0,44614554;-1681790000;0,0493;;4,1032043;44566986000;3,49728;1,39E+11;0,0976;;0,1488;;0;16,61044544;25637462000;9708450000;1,64E+11;75,98110304;79482165000;4754826000;4,23709685;12,84736024;5,55521721;0,32985406;0,321114;6,47715;0,34220815;0,35664208;0,39634786;0,86699458;2,04173554;4,00249507;2,76453913;;16694504646;3,59E+11;27746107000;82119952000;1,86E+11;1,75E+11;1,64E+11;48707100000;1,66734445;2,04804775;4339815;1,241;4,80404551;-10,53956835
84;MDMG;MD MEDICAL GROUP I;Cyprus;Health Services;Hospital/Nursing Management;790,8;1;25390;58285027443;13,79954702;56,52359448;8274;999,8;446,54999;45667,33333;90470;57,1005168;4,49948672;1,03660651;0,34171008;-2260462133;28,68369018;;3,658528;6020275385;6,33843;;57,1005168;37;56,52359448;21,73;2032452626;35,64255649;6876851786;;19559746219;42,23152556;2943327065;4289949857;21,80346555;22,9070931;22,54406499;2,98812861;;126,676;3,00868399;2,99582148;;0,72367108;12,84095276;20,9722544;16,11240373;2364001,235;;31996578912;5851013803;6818442932;12042695837;12042695837;19559746219;75125010;4,16451779;6,61873108;20078412;791,4333333;;72,87134828
85;IRGZ;IRKUTSKENERGO;Russian Federation;Utilities;Electric Utilities;11,54;-1;81200;54532277140;;;;30,99;0,18;82064,44444;79110;;-0,28166784;0,50036449;2,60325791;;;;0;;;;;;;;561000000;;;;;11,7053559;1,76E+11;;;;;;;;;;;1,18540146;2,81887837;9,1671099;4,21331452;;337251807,5;2,86E+11;44615000000;1,82E+11;;2,17E+11;;4766810000;2,85204991;1,97592154;937048;11,43333333;-1,53583618;-0,34542314
86;INGR;INGRAD;Russian Federation;Finance;Real Estate Development;1235;-2;26589;52474071625;;;;1619;122;12084,21111;14581,2;;-114,9451543;2,83845099;14,71325203;;;;8,575805;;;;;;;;0;;;;;0;75706525000;;;;;;;;;;;2,0537597;0,17578287;3,12086487;0,35461408;;14810633,44;1,72E+11;1,50E+11;1,00E+11;;1,66E+11;;41220800;2,75750203;2,14540228;32837415;1245;61,01694915;4,83870968
87;FESH;FAR-EASTERN SHIPPI;Russian Federation;Transportation;Marine Shipping;18;2;520000;52384687500;6,5269351;2,7195;;18,5;1,63;874465,5556;559633,3333;2,7195;1,864418;0,78344634;7,48488587;0;;;0;11608000000;5,55345;;2,7195;;2,7195;;6517000000;27,45142195;17066000000;;62168000000;73,52977294;32259000000;8026000000;12,91017887;13,91230215;15,70904645;16,27857922;;9,52948;0,84263106;0,84263106;;0,97449448;13,83411473;239,474862;25,17289507;;1192048241;54705000000;16754000000;36399000000;49842000000;49842000000;62168000000;2951250000;3,03370787;3,89940413;9360000;18,04666667;136,2204724;55,84415584
88;ALNU;ALROSA-NYURBA;Russian Federation;Non-Energy Minerals;Other Metals/Minerals;65600;1;14;52160000777;4,16833221;15641,7475;;214500;32500;45,35555556;62,16666667;21593,7512;2652,530394;53,46995072;0;0;0;;0;;2,41373;48533200000;21593,7512;;15641,7475;;0;60,37712073;20643647000;1616658000;35545289000;45,06855787;-906793000;17275001000;48,19234392;58,44641883;60,10489445;0,92961836;0,872018;;2,008817;1,46742371;53,17200107;0,10590015;23,54563543;24,81251586;24,81251586;;20098,4;57759581000;55296912000;0;3477013000;1063491000;35545289000;800000;3,06748466;2,03971126;918400;66000;18,41155235;10,43771044
